time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2021-09-08,EURUSD=X,forex,1.1846,1.1854,1.1803,1.1844,0,0,0,,,,,,,,,,,,-0.002111,-0.003293,0
2021-09-09,EURUSD=X,forex,1.182,1.1841,1.1806,1.1819,0,-0.002111,0,,,,,,,,,,,,0.000592,0.000085,0
2021-09-10,EURUSD=X,forex,1.1824,1.1853,1.1819,1.1826,0,0.000592,0,,,,,,,,,,,,-0.001184,-0.004989,0
2021-09-13,EURUSD=X,forex,1.1813,1.1818,1.1771,1.1812,0,-0.001184,0,,,,,,,,,,,,0,-0.006942,0
2021-09-14,EURUSD=X,forex,1.1811,1.1847,1.1802,1.1812,0,0,0,,,,,,,,,,,,-0.000593,-0.006942,0
2021-09-15,EURUSD=X,forex,1.1804,1.1833,1.1801,1.1805,0,-0.000593,-0.003293,,,,,,,,,,,,0.001271,-0.006946,0
2021-09-16,EURUSD=X,forex,1.1819,1.1823,1.1752,1.182,0,0.001271,0.000085,,,,,,,,,,,,-0.004484,-0.011168,-1
2021-09-17,EURUSD=X,forex,1.1765,1.179,1.173,1.1767,0,-0.004484,-0.004989,,,,,,,,,,,,-0.003144,-0.002295,0
2021-09-20,EURUSD=X,forex,1.1729,1.1737,1.1701,1.173,0,-0.003144,-0.006942,,,,,,,,,,,,0,-0.000597,0
2021-09-21,EURUSD=X,forex,1.1726,1.1749,1.1716,1.173,0,0,-0.006942,,,,,,,,,,,,-0.000597,-0.002813,0
2021-09-22,EURUSD=X,forex,1.1726,1.1745,1.1717,1.1723,0,-0.000597,-0.006946,,,,,,,,,,,,-0.002986,-0.003156,0
2021-09-23,EURUSD=X,forex,1.1689,1.1751,1.1684,1.1688,0,-0.002986,-0.011168,,,,,,,,,,,,0.004449,-0.007358,0
2021-09-24,EURUSD=X,forex,1.1742,1.1748,1.1702,1.174,0,0.004449,-0.002295,,,,,,,,,,,,-0.001448,-0.01414,-1
2021-09-27,EURUSD=X,forex,1.1722,1.1728,1.1687,1.1723,0,-0.001448,-0.000597,,,,,,,,,,,,-0.002218,-0.009895,0
2021-09-28,EURUSD=X,forex,1.1696,1.1706,1.167,1.1697,0,-0.002218,-0.002813,25.08,0.00518,0.00443,,,,,,,,,-0.00094,-0.006754,0
2021-09-29,EURUSD=X,forex,1.1687,1.1692,1.161,1.1686,0,-0.00094,-0.003156,24.12,0.00543,0.00465,,,,,,,,,-0.007188,-0.007702,0
2021-09-30,EURUSD=X,forex,1.1602,1.1612,1.157,1.1602,0,-0.007188,-0.007358,18.3,0.00587,0.00506,,,,,,,,,-0.002413,-0.004051,0
2021-10-01,EURUSD=X,forex,1.1574,1.1609,1.1564,1.1574,0,-0.002413,-0.01414,16.85,0.00577,0.00499,,,,,,,,,0.002851,-0.00121,0
2021-10-04,EURUSD=X,forex,1.1607,1.164,1.1589,1.1607,0,0.002851,-0.009895,24.48,0.00583,0.00502,,,,,,,,,0.000948,-0.003532,0
2021-10-05,EURUSD=X,forex,1.1617,1.1623,1.1583,1.1618,0,0.000948,-0.006754,26.89,0.0057,0.00491,,1.17311,,,,,,,-0.001894,-0.005509,0
2021-10-06,EURUSD=X,forex,1.1595,1.16,1.153,1.1596,0,-0.001894,-0.007702,25.16,0.00592,0.00511,,1.17183,,,,,,,-0.003536,-0.005347,0
