time,symbol,market_type,open,high,low,close,volume,ret_1,ret_5,rsi_14,atr_14,atr_pct,adx_14,ema_20,ema_50,ema_200,ema_spread_20_50,ema_spread_50_200,macd_hist,bb_pct,target_ret_1,target_ret_5,target_class
2021-09-07,NVDA,stock,22.833,22.899,22.522,22.662,198107000,0,0,,,,,,,,,,,,-0.014253,-0.018533,-1
2021-09-08,NVDA,stock,22.513,22.61,21.977,22.339,254434000,-0.014253,0,,,,,,,,,,,,-0.007252,0.00009,0
2021-09-09,NVDA,stock,22.312,22.538,22.131,22.177,196856000,-0.007252,0,,,,,,,,,,,,0.013573,0.002931,0
2021-09-10,NVDA,stock,22.348,22.626,22.27,22.478,248376000,0.013573,0,,,,,,,,,,,,-0.014503,-0.025714,-1
2021-09-13,NVDA,stock,22.684,22.964,21.858,22.152,297500000,-0.014503,0,,,,,,,,,,,,0.004063,-0.046903,-1
2021-09-14,NVDA,stock,22.275,22.41,22.086,22.242,199755000,0.004063,-0.018533,,,,,,,,,,,,0.004451,-0.04478,-1
2021-09-15,NVDA,stock,22.309,22.367,21.966,22.341,166538000,0.004451,0.00009,,,,,,,,,,,,-0.004431,-0.017904,-1
2021-09-16,NVDA,stock,22.183,22.277,21.927,22.242,156033000,-0.004431,0.002931,,,,,,,,,,,,-0.015376,0.01079,1
2021-09-17,NVDA,stock,22.3,22.321,21.83,21.9,294503000,-0.015376,-0.025714,,,,,,,,,,,,-0.035936,0.008265,0
2021-09-20,NVDA,stock,21.146,21.433,20.662,21.113,349440000,-0.035936,-0.046903,,,,,,,,,,,,0.006299,0.025908,1
2021-09-21,NVDA,stock,21.417,21.425,20.95,21.246,204688000,0.006299,-0.04478,,,,,,,,,,,,0.032712,-0.025746,-1
2021-09-22,NVDA,stock,21.366,21.96,21.196,21.941,268726000,0.032712,-0.017904,,,,,,,,,,,,0.024657,-0.064901,-1
2021-09-23,NVDA,stock,22.14,22.535,21.89,22.482,248555000,0.024657,0.01079,,,,,,,,,,,,-0.017836,-0.078552,-1
2021-09-24,NVDA,stock,22.07,22.149,21.861,22.081,217655000,-0.017836,0.008265,,,,,,,,,,,,-0.019066,-0.06064,-1
2021-09-27,NVDA,stock,21.71,21.799,21.325,21.66,245215000,-0.019066,0.025908,39.39,0.62686,0.02894,,,,,,,,,-0.044367,-0.089012,-1
2021-09-28,NVDA,stock,21.214,21.419,20.651,20.699,343069000,-0.044367,-0.025746,32.3,0.65415,0.0316,,,,,,,,,-0.008793,-0.011981,-1
2021-09-29,NVDA,stock,20.94,21.017,20.467,20.517,218394000,-0.008793,-0.064901,31.16,0.64671,0.03152,,,,,,,,,0.009699,0.008919,0
2021-09-30,NVDA,stock,20.768,21.066,20.688,20.716,221009000,0.009699,-0.078552,33.91,0.63973,0.03088,,,,,,,,,0.001255,0.01733,1
2021-10-01,NVDA,stock,20.75,20.859,20.203,20.742,240978000,0.001255,-0.06064,34.28,0.6409,0.0309,,,,,,,,,-0.048693,0.004291,0
2021-10-04,NVDA,stock,20.504,20.542,19.555,19.732,345635000,-0.048693,-0.089012,27.78,0.6799,0.03446,,21.6731,,,,,,,0.036438,0.048804,1
2021-10-05,NVDA,stock,19.95,20.648,19.854,20.451,279282000,0.036438,-0.011981,36.95,0.69677,0.03407,,21.55671,,,,,,,0.012175,0.010757,1
2021-10-06,NVDA,stock,20.12,20.72,20.08,20.7,297202000,0.012175,0.008919,39.8,0.69271,0.03346,,21.47512,,,,,,,0.018116,0.011546,1
2021-10-07,NVDA,stock,21.092,21.322,20.972,21.075,256919000,0.018116,0.01733,43.91,0.68766,0.03263,,21.43701,,,,,,,-0.011578,0.031839,1
2021-10-08,NVDA,stock,21.101,21.206,20.775,20.831,151258000,-0.011578,0.004291,41.91,0.66933,0.03213,,21.3793,,,,,,,-0.006529,0.049494,1
2021-10-11,NVDA,stock,20.575,21.063,20.511,20.695,163388000,-0.006529,0.048804,40.79,0.66095,0.03194,,21.31413,,,,,,,-0.00116,0.073786,1
2021-10-12,NVDA,stock,20.828,21.057,20.528,20.671,162134000,-0.00116,0.010757,40.58,0.65152,0.03152,,21.25288,,,,,0,,0.012965,0.078322,1
2021-10-13,NVDA,stock,20.918,20.99,20.713,20.939,180652000,0.012965,0.011546,43.98,0.62777,0.02998,,21.22298,,,,,0,,0.038541,0.05559,1
2021-10-14,NVDA,stock,21.288,21.755,21.122,21.746,243589000,0.038541,0.031839,52.75,0.64122,0.02949,46.08,21.27279,,,,,0,,0.005334,0.043502,1
2021-10-15,NVDA,stock,21.81,21.931,21.662,21.862,226994000,0.005334,0.049494,53.87,0.61463,0.02811,43.58,21.32891,,,,,0,,0.016467,0.039521,1
2021-10-18,NVDA,stock,21.749,22.291,21.644,22.222,189494000,0.016467,0.073786,57.25,0.61694,0.02776,40.57,21.41396,,,,,0,,0.00306,0.04248,1
2021-10-19,NVDA,stock,22.276,22.379,22.037,22.29,161473000,0.00306,0.078322,57.87,0.5973,0.0268,37.73,21.4974,,,,,0,,-0.008389,0.108883,1
2021-10-20,NVDA,stock,22.305,22.433,21.982,22.103,146276000,-0.008389,0.05559,55.46,0.58685,0.02655,35.08,21.55507,,,,,0,,0.026648,0.10623,1
2021-10-21,NVDA,stock,22.097,22.711,22.083,22.692,187590000,0.026648,0.043502,60.98,0.58979,0.02599,33.06,21.66335,,,,,0,,0.001498,0.09911,1
2021-10-22,NVDA,stock,22.823,23.13,22.561,22.726,249384000,0.001498,0.039521,61.28,0.58831,0.02589,31.91,21.76456,,,,,0.342522,,0.019361,0.125011,1
2021-10-25,NVDA,stock,22.973,23.355,22.77,23.166,230235000,0.019361,0.04248,65,0.59121,0.02552,31.18,21.89803,,,,,0.348823,,0.066952,0.114867,1
2021-10-26,NVDA,stock,23.989,25.259,23.924,24.717,485898000,0.066952,0.108883,74.37,0.69848,0.02826,32.45,22.1665,,,,,0.43478,,-0.010762,0.068131,1
2021-10-27,NVDA,stock,24.474,25.09,24.282,24.451,245990000,-0.010762,0.10623,70.87,0.70631,0.02889,33.63,22.38407,,,,,0.449209,,0.02004,0.087808,1
2021-10-28,NVDA,stock,24.878,24.95,24.523,24.941,234204000,0.02004,0.09911,73.35,0.6915,0.02773,34.73,22.62759,,,,,0.465273,,0.025099,0.19486,1
2021-10-29,NVDA,stock,25.001,25.709,25,25.567,292503000,0.025099,0.125011,76.16,0.69696,0.02726,36.29,22.90753,,,,,0.489137,,0.010169,0.163688,1
2021-11-01,NVDA,stock,25.649,25.894,25.227,25.827,265740000,0.010169,0.114867,77.23,0.69482,0.0269,37.85,23.18558,,,,,0.492168,,0.022225,0.192705,1
2021-11-02,NVDA,stock,25.822,26.678,25.8,26.401,294112000,0.022225,0.068131,79.43,0.70791,0.02681,39.74,23.49181,,,,,0.500899,,0.007462,0.161206,1
2021-11-03,NVDA,stock,26.67,26.784,26.235,26.598,239910000,0.007462,0.087808,80.14,0.69656,0.02619,41.54,23.78764,,,,,0.487544,,0.120423,0.107564,1
