exit_config,confidence_threshold,phase,trades,wins,losses,win_rate,net_pips,expectancy_pips,profit_factor,max_drawdown_pips,score,avg_tp_pips,avg_sl_pips,tp_hits,sl_hits,timeouts
current_fixed,0.51,validation,174,89,85,51.14942528735632,763.9616999999619,4.390584482758402,1.6720233896975292,132.30000000000507,697.8116999999593,30.15651954022988,19.308750574712644,41,47,86
current_fixed,0.51,test,179,75,104,41.899441340782126,104.26909999996649,0.5825089385472988,1.0734118004555877,314.18860000000586,-52.825200000036446,30.995667039106145,19.954206703910614,27,60,92
dynamic_candidate,0.51,validation,200,81,119,40.5,922.1200000000144,4.610600000000073,1.781414583095021,146.00000000000557,849.1200000000117,32.54227500000002,13.555425000000005,40,89,71
dynamic_candidate,0.51,test,203,76,127,37.4384236453202,-116.09500000002251,-0.5718965517242488,0.9287063107764837,353.0299999999978,-292.6100000000214,35.576945812807885,14.865467980295564,23,97,83
current_fixed,0.55,validation,150,78,72,52.0,762.8047999999751,5.085365333333168,1.8270247613644852,114.83999999999821,705.3847999999759,30.086111999999993,19.299494666666668,37,37,76
current_fixed,0.55,test,163,71,92,43.558282208588956,101.46209999997757,0.6224668711655066,1.0782208056869007,237.4996000000067,-17.28770000002578,31.153700613496934,20.05158773006135,25,51,87
dynamic_candidate,0.55,validation,173,74,99,42.77456647398844,847.2400000000114,4.897341040462494,1.8694411805452478,195.29999999997983,749.5900000000215,32.32037572254339,13.29095375722544,32,76,65
dynamic_candidate,0.55,test,190,63,127,33.1578947368421,-314.1900000000228,-1.6536315789474885,0.8161814607661785,377.24500000002365,-502.8125000000346,36.91134210526317,15.23165789473684,24,99,67
current_fixed,0.6,validation,85,41,44,48.23529411764706,598.2810999999757,7.038601176470302,2.003813538135814,122.50000000000566,537.0310999999729,32.79565058823529,21.147018823529407,26,23,36
current_fixed,0.6,test,99,47,52,47.474747474747474,105.07259999997828,1.0613393939391746,1.1112963120278352,164.07820000000584,23.033499999975362,34.814446464646466,22.545747474747476,17,35,47
dynamic_candidate,0.6,validation,85,39,46,45.88235294117647,835.6899999999993,9.83164705882352,2.7016350715725386,94.80000000000936,788.2899999999946,40.72429411764713,15.457882352941184,18,28,39
dynamic_candidate,0.6,test,106,40,66,37.735849056603776,66.57999999998589,0.6281132075470367,1.0661832315269804,160.0250000000102,-13.432500000019218,42.095,17.360330188679242,18,55,33
current_fixed,0.65,validation,46,31,15,67.3913043478261,737.8700999999963,16.040654347826006,3.5593101410226793,62.0000000000025,706.8700999999951,38.20057826086956,24.81363913043478,23,10,13
current_fixed,0.65,test,59,24,35,40.67796610169492,19.008799999990273,0.32218305084729276,1.0267402893985431,177.73799999999937,-69.86020000000941,39.50051016949153,25.770057627118643,13,24,22
dynamic_candidate,0.65,validation,41,23,18,56.09756097560976,879.5600000000036,21.452682926829354,4.47837779052065,56.000000000000966,851.5600000000031,56.80658536585386,19.60731707317075,14,14,13
dynamic_candidate,0.65,test,57,22,35,38.59649122807017,182.49999999999704,3.2017543859648603,1.30771565387468,162.72500000000605,101.13749999999402,51.89517543859643,20.33456140350876,11,26,20
current_fixed,0.68,validation,32,21,11,65.625,596.380099999998,18.63687812499994,3.515223429640965,42.199999999999704,575.2800999999981,41.426649999999995,27.0002375,19,7,6
current_fixed,0.68,test,43,17,26,39.53488372093023,-33.23440000001345,-0.7728930232561267,0.9513481355173764,195.43800000000147,-130.9534000000142,44.74287906976744,29.318818604651167,12,22,9
dynamic_candidate,0.68,validation,28,16,12,57.14285714285714,819.2599999999983,29.259285714285653,4.830017998644207,50.19999999999993,794.1599999999983,67.52464285714309,21.590714285714323,12,9,7
dynamic_candidate,0.68,test,42,18,24,42.857142857142854,213.93999999999517,5.0938095238094085,1.4164849711882714,175.40500000000065,126.23749999999484,63.51595238095233,24.35321428571428,9,19,14
