threshold,fold,start,end,trades,wins,losses,win_rate,net_pips,expectancy_pips,profit_factor,max_drawdown_pips,score,avg_tp_pips,avg_sl_pips,tp_hits,sl_hits,timeouts
0.6,1,2026-08-14 02:00:00,2026-08-19 13:30:00,79,34,45,43.037974683544306,-117.4999999999929,-1.4873417721518087,0.7380156075808383,190.1999999999959,-212.59999999999084,26.70487341772151,13.873417721518987,4,26,49
0.6,2,2026-08-19 13:30:00,2026-08-25 01:00:00,104,35,69,33.65384615384615,-33.91500000000731,-0.3261057692308395,0.950241347437599,193.50500000000238,-130.6675000000085,28.985913461538434,13.918173076923079,11,50,43
0.6,3,2026-08-25 01:00:00,2026-08-28 12:30:00,92,25,67,27.173913043478258,-373.6000000000001,-4.060869565217392,0.40698412698412334,386.29999999999984,-566.75,26.695652173913043,14.26086956521739,3,43,46
0.6,4,2026-08-28 12:30:00,2026-09-03 00:00:00,94,33,61,35.1063829787234,-199.23000000001167,-2.119468085106507,0.691498916073073,261.2000000000114,-329.8300000000174,29.199574468085142,13.764468085106385,7,44,43
0.6,5,2026-09-03 00:00:00,2026-09-08 11:35:00,137,61,76,44.52554744525548,802.9649999999937,5.861058394160538,1.6973784202778204,153.62500000000807,726.1524999999897,45.0947445255475,17.480145985401464,28,59,50
0.65,1,2026-08-14 02:00:00,2026-08-19 13:30:00,28,10,18,35.714285714285715,-74.19999999999823,-2.649999999999937,0.6273229532898104,134.99999999999864,-141.69999999999754,28.816428571428577,16.0,1,12,15
0.65,2,2026-08-19 13:30:00,2026-08-25 01:00:00,31,11,20,35.483870967741936,-63.62500000000165,-2.052419354838763,0.7479449341388494,101.8549999999987,-114.552500000001,34.447096774193525,16.72548387096775,1,17,13
0.65,3,2026-08-25 01:00:00,2026-08-28 12:30:00,26,7,19,26.923076923076923,-67.2999999999964,-2.5884615384614,0.5911300121506845,74.39999999999793,-104.49999999999537,28.923076923076923,17.23076923076923,1,12,13
0.65,4,2026-08-28 12:30:00,2026-09-03 00:00:00,37,16,21,43.24324324324324,19.1999999999963,0.5189189189188189,1.0767386091126945,123.9000000000058,-42.7500000000066,34.82418918918932,16.504729729729725,3,17,17
0.65,5,2026-09-03 00:00:00,2026-09-08 11:35:00,78,36,42,46.15384615384615,914.3550000000038,11.722500000000048,2.2586706495330002,162.72500000000605,832.9925000000007,56.9394230769231,20.999294871794877,21,30,27
0.68,1,2026-08-14 02:00:00,2026-08-19 13:30:00,8,1,7,12.5,-84.10000000000619,-10.512500000000774,0.24302430243021708,100.20000000000348,-134.20000000000795,35.34812499999997,20.0,0,4,4
0.68,2,2026-08-19 13:30:00,2026-08-25 01:00:00,17,8,9,47.05882352941176,-11.82499999999851,-0.69558823529403,0.9087048832271887,71.75499999999585,-47.702499999996434,37.35176470588225,19.008235294117647,1,8,8
0.68,3,2026-08-25 01:00:00,2026-08-28 12:30:00,12,4,8,33.33333333333333,-11.100000000001927,-0.9250000000001606,0.8849740932642293,69.00000000000301,-45.60000000000343,29.0,17.333333333333332,1,7,4
0.68,4,2026-08-28 12:30:00,2026-09-03 00:00:00,21,9,12,42.857142857142854,18.414999999996738,0.8769047619046065,1.1101441473772116,62.38500000000258,-12.77750000000455,34.73238095238111,17.34952380952381,3,9,9
0.68,5,2026-09-03 00:00:00,2026-09-08 11:35:00,59,32,27,54.23728813559322,961.9049999999984,16.30347457627116,2.5474786637601423,175.40500000000065,874.202499999998,67.99500000000005,24.12855932203391,18,23,18
0.7,1,2026-08-14 02:00:00,2026-08-19 13:30:00,5,0,5,0.0,-68.00000000000037,-13.600000000000074,0.0,68.00000000000037,-102.00000000000055,31.804999999999886,17.6,0,3,2
0.7,2,2026-08-19 13:30:00,2026-08-25 01:00:00,12,7,5,58.333333333333336,-5.555000000007794,-0.4629166666673162,0.9366987636031286,75.25500000000389,-43.18250000000974,38.24833333333323,20.39874999999999,0,4,8
0.7,3,2026-08-25 01:00:00,2026-08-28 12:30:00,4,0,4,0.0,-47.999999999999375,-11.999999999999844,0.0,47.999999999999375,-71.99999999999906,25.0,12.0,0,4,0
0.7,4,2026-08-28 12:30:00,2026-09-03 00:00:00,10,3,7,30.0,-15.985000000004844,-1.5985000000004843,0.8227630557711061,63.60000000000423,-47.78500000000696,33.28250000000021,14.65900000000001,2,6,2
0.7,5,2026-09-03 00:00:00,2026-09-08 11:35:00,44,23,21,52.27272727272727,742.2250000000029,16.868750000000066,2.487216222173224,134.20500000000004,675.1225000000029,74.33715909090922,25.45727272727274,14,18,12
0.75,1,2026-08-14 02:00:00,2026-08-19 13:30:00,1,0,1,0.0,-7.999999999999119,-7.999999999999119,0.0,7.999999999999119,-11.999999999998678,22.0,8.0,0,1,0
0.75,2,2026-08-19 13:30:00,2026-08-25 01:00:00,3,2,1,66.66666666666666,-1.6000000000019554,-0.5333333333339851,0.9333333333332544,24.00000000000091,-13.60000000000241,43.62166666666668,24.0,0,1,2
0.75,3,2026-08-25 01:00:00,2026-08-28 12:30:00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
0.75,4,2026-08-28 12:30:00,2026-09-03 00:00:00,3,2,1,66.66666666666666,10.199999999998521,3.399999999999507,1.4249999999999223,24.00000000000091,-1.8000000000019334,32.23333333333367,18.666666666666668,1,1,1
0.75,5,2026-09-03 00:00:00,2026-09-08 11:35:00,24,11,13,45.83333333333333,344.7799999999944,14.3658333333331,2.0292247529776692,118.81500000000074,285.37249999999403,83.85750000000006,26.923749999999995,7,11,6
